funcid,dim,milestone,error
10,30,1,8.876937e+03
10,30,2,8.873412e+03
10,30,3,8.873412e+03
10,30,5,8.873412e+03
10,30,10,8.873412e+03
10,30,20,8.873412e+03
10,30,30,8.873412e+03
10,30,40,8.873412e+03
10,30,50,8.873412e+03
10,30,60,8.873412e+03
10,30,70,8.873412e+03
10,30,80,8.873412e+03
10,30,90,8.873412e+03
10,30,100,8.873412e+03
