funcid,dim,milestone,error
18,30,1,9.831229e+06
18,30,2,3.148214e+06
18,30,3,1.775943e+06
18,30,5,1.233204e+06
18,30,10,8.615599e+05
18,30,20,6.180956e+05
18,30,30,5.134497e+05
18,30,40,4.672845e+05
18,30,50,4.386006e+05
18,30,60,4.154826e+05
18,30,70,3.926933e+05
18,30,80,3.719401e+05
18,30,90,3.523528e+05
18,30,100,3.339502e+05
