funcid,dim,milestone,error
30,50,1,9.489179e+07
30,50,2,7.095156e+07
30,50,3,5.907869e+07
30,50,5,4.700007e+07
30,50,10,4.233985e+07
30,50,20,4.233985e+07
30,50,30,4.233985e+07
30,50,40,4.233985e+07
30,50,50,4.233985e+07
30,50,60,4.233985e+07
30,50,70,4.233985e+07
30,50,80,4.233985e+07
30,50,90,4.233985e+07
30,50,100,4.233985e+07
