funcid,dim,milestone,error
23,10,1,4.849911e+02
23,10,2,4.689082e+02
23,10,3,4.617560e+02
23,10,5,4.545598e+02
23,10,10,4.496384e+02
23,10,20,4.488566e+02
23,10,30,4.488561e+02
23,10,40,4.488561e+02
23,10,50,4.488561e+02
23,10,60,4.488561e+02
23,10,70,4.488561e+02
23,10,80,4.488561e+02
23,10,90,4.488561e+02
23,10,100,4.488561e+02
