funcid,dim,milestone,error
16,30,1,5.906662e+03
16,30,2,5.515197e+03
16,30,3,5.361741e+03
16,30,5,5.187075e+03
16,30,10,4.969492e+03
16,30,20,4.779957e+03
16,30,30,4.676305e+03
16,30,40,4.604789e+03
16,30,50,4.548962e+03
16,30,60,4.506092e+03
16,30,70,4.469094e+03
16,30,80,4.437714e+03
16,30,90,4.410590e+03
16,30,100,4.387038e+03
