funcid,dim,milestone,error
5,30,1,5.005916e+02
5,30,2,4.852681e+02
5,30,3,4.768914e+02
5,30,5,4.678452e+02
5,30,10,4.580571e+02
5,30,20,4.526152e+02
5,30,30,4.494284e+02
5,30,40,4.463379e+02
5,30,50,4.436933e+02
5,30,60,4.415611e+02
5,30,70,4.398161e+02
5,30,80,4.384003e+02
5,30,90,4.372746e+02
5,30,100,4.363657e+02
