funcid,dim,milestone,error
18,30,1,1.576278e+08
18,30,2,1.316353e+08
18,30,3,1.199599e+08
18,30,5,1.073764e+08
18,30,10,9.150736e+07
18,30,20,7.677716e+07
18,30,30,6.888296e+07
18,30,40,6.362354e+07
18,30,50,5.970248e+07
18,30,60,5.660621e+07
18,30,70,5.406595e+07
18,30,80,5.192290e+07
18,30,90,5.009154e+07
18,30,100,4.847275e+07
