funcid,dim,milestone,error
15,30,1,1.112157e+05
15,30,2,1.111470e+05
15,30,3,1.111470e+05
15,30,5,1.110702e+05
15,30,10,1.108608e+05
15,30,20,1.103736e+05
15,30,30,1.099703e+05
15,30,40,1.095494e+05
15,30,50,1.091540e+05
15,30,60,1.087652e+05
15,30,70,1.083611e+05
15,30,80,1.079883e+05
15,30,90,1.076061e+05
15,30,100,1.072381e+05
