funcid,dim,milestone,error
20,50,1,2.373608e+03
20,50,2,2.301022e+03
20,50,3,2.275399e+03
20,50,5,2.195481e+03
20,50,10,2.144768e+03
20,50,20,2.021534e+03
20,50,30,2.004955e+03
20,50,40,1.997802e+03
20,50,50,1.992496e+03
20,50,60,1.987855e+03
20,50,70,1.983953e+03
20,50,80,1.980656e+03
20,50,90,1.977794e+03
20,50,100,1.975113e+03
