funcid,dim,milestone,error
19,30,1,1.355087e+07
19,30,2,6.280477e+06
19,30,3,4.082659e+06
19,30,5,2.394725e+06
19,30,10,1.063676e+06
19,30,20,4.693697e+05
19,30,30,2.849089e+05
19,30,40,2.056131e+05
19,30,50,1.603344e+05
19,30,60,1.320988e+05
19,30,70,1.129905e+05
19,30,80,9.925759e+04
19,30,90,8.896442e+04
19,30,100,8.062554e+04
